,image,Company,Model,RAM,ROM,Expandable,Display_cm,Front_Camera_MP,Rear_Camera_MP,Battery_mAh,Processor,Warranty,Rating,Number_of_ratings,Reviews,Price_rs
15,0.0,OPPO,"OPPO A5x (Midnight Blue, 128 GB)",4.0,128.0,_,16.94,5,32,6000.0,6s 4G Gen 1 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2,135.0,7.0,9999.0
16,0.0,realme,"realme C71 (Obsidian Black, 128 GB)",6.0,128.0,2,17.14,5,13,6300.0,T7250 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2,8234.0,315.0,9699.0
17,0.0,realme,"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)",4.0,64.0,_,17.12,_,32,6300.0,_,_,4.3,1926.0,76.0,8119.0
18,0.0,Samsung,"Samsung M06 5G (Sage Green, 128 GB)",4.0,128.0,_,17.02,_,50,5000.0,_,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.0,993.0,63.0,10226.0
19,0.0,OPPO,"OPPO A3x (Nebula Red, 64 GB)",4.0,64.0,1,16.94,5,8,5100.0,6s 4G Gen1 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.1,1804.0,87.0,9499.0
20,0.0,REDMI,"REDMI A5 (Just Black, 128 GB)",4.0,128.0,2,17.48,8,32,5200.0,T7250 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.2,4537.0,228.0,7999.0
21,0.0,REDMI,"REDMI A4 (Sparkle Purple, 64 GB)",4.0,64.0,_,17.48,_,50,5160.0,_,1 Year,4.3,13706.0,577.0,9240.0
22,0.0,Ai+,"Ai+ Nova 5G (Purple, 128 GB)",8.0,128.0,1,17.13,5,50,5000.0,T8200 Processor,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,3.9,3584.0,313.0,9499.0
23,0.0,Tecno,"Tecno Spark 30C 5G (Aurora Cloud, 64 GB)",4.0,64.0,1,16.94,8,48,5000.0,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Phone,4.1,1187.0,53.0,9999.0
24,0.0,Ai+,"Ai+ Pulse (Blue, 128 GB)",6.0,128.0,1,17.13,5,50,5000.0,T615 Processor,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,4.0,5260.0,318.0,6999.0
